===== QUEUE_PREPARE A_field_d0 outcome=EXACT — CUMULATIVE =====
         10986928 function calls (10760149 primitive calls) in 7.912 seconds

   Ordered by: cumulative time
   List reduced from 1567 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.000    0.000    1.336    0.009 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/motorcycle.py:393(_wall_hit)
       86    0.000    0.000    1.301    0.015 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/event_time.py:401(event_point)
      261    0.002    0.000    1.293    0.005 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:402(__truediv__)
        2    0.000    0.000    1.257    0.629 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/direction_binding.py:847(certify_huber_density_bindings_with_adaptive_fallback)
        2    0.000    0.000    1.257    0.629 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/adaptive_density_fan.py:1087(certify_density_bindings_and_adaptive_fallback)
      276    0.001    0.000    1.245    0.005 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:554(_pick_prime)
        7    0.000    0.000    1.244    0.178 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:202(prime_support)
        4    0.000    0.000    1.203    0.301 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/reference/adaptive_density_fan.py:1112(<genexpr>)
7998/5831    0.065    0.000    1.028    0.000 /usr/local/lib/python3.11/dist-packages/sympy/core/operations.py:62(__new__)
        1    0.000    0.000    0.822    0.822 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/motorcycle.py:544(_seed_traces)
