===== QUEUE_PREPARE A_field_d0 outcome=EXACT — CUMULATIVE =====
         10986928 function calls (10760149 primitive calls) in 7.912 seconds

   Ordered by: cumulative time
   List reduced from 1567 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.500    1.500 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:489(_covered_contours)
        1    0.000    0.000    1.500    1.500 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:190(coverage_at)
        1    0.000    0.000    1.490    1.490 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:211(_prime_universe_from_q_values)
        5    0.001    0.000    1.490    0.298 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:164(_factorize)
      190    0.000    0.000    1.487    0.008 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:96(_pollard_rho)
       63    1.352    0.021    1.486    0.024 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:111(_pollard_rho_brent_attempt)
1710074/1710050    0.110    0.000    0.111    0.000 {built-in method builtins.abs}
    30255    0.020    0.000    0.020    0.000 {built-in method math.gcd}
     1835    0.001    0.000    0.008    0.000 /usr/lib/python3.11/fractions.py:357(forward)
        5    0.000    0.000    0.007    0.001 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:117(clip_to_halfplane)
    26893    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      113    0.000    0.000    0.004    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:167(sqrt_sum_float)
      139    0.000    0.000    0.004    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:442(enclosure)
       78    0.000    0.000    0.004    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:386(__mul__)
      966    0.002    0.000    0.003    0.000 /usr/lib/python3.11/fractions.py:452(_add)
        1    0.000    0.000    0.003    0.003 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:409(_skeleton_segments)
      696    0.001    0.000    0.003    0.000 /usr/lib/python3.11/fractions.py:484(_mul)
     3021    0.002    0.000    0.003    0.000 /usr/lib/python3.11/fractions.py:62(__new__)
        5    0.000    0.000    0.003    0.001 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/faces.py:610(doubled_shoelace)
      179    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:368(__add__)
        3    0.000    0.000    0.002    0.001 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:935(<genexpr>)
        5    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:836(_projected_face)
        5    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:130(<listcomp>)
       26    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:106(_value)
      108    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:377(__sub__)
      399    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:71(_is_prime)
      643    0.002    0.000    0.002    0.000 {built-in method builtins.pow}
       25    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:846(<genexpr>)
       10    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:501(_divide_with_prime_universe)
        5    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:131(<listcomp>)
       26    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:478(sign)
       26    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:468(certified_sign)
      269    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:357(_from_map)
        1    0.000    0.000    0.001    0.001 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:552(source_chain_by_span)
      304    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       61    0.000    0.000    0.001    0.000 /usr/lib/python3.11/random.py:119(__init__)
       62    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:380(scaled)
       61    0.000    0.000    0.001    0.000 /usr/lib/python3.11/random.py:128(seed)



===== QUEUE_CONTOUR A_field_d0 faces=5 — TOTTIME =====
         1797314 function calls (1797290 primitive calls) in 1.506 seconds

   Ordered by: internal time
   List reduced from 144 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    1.352    0.021    1.486    0.024 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:111(_pollard_rho_brent_attempt)
1710074/1710050    0.110    0.000    0.111    0.000 {built-in method builtins.abs}
    30255    0.020    0.000    0.020    0.000 {built-in method math.gcd}
    26893    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     3021    0.002    0.000    0.003    0.000 /usr/lib/python3.11/fractions.py:62(__new__)
      966    0.002    0.000    0.003    0.000 /usr/lib/python3.11/fractions.py:452(_add)
      643    0.002    0.000    0.002    0.000 {built-in method builtins.pow}
      696    0.001    0.000    0.003    0.000 /usr/lib/python3.11/fractions.py:484(_mul)
     1835    0.001    0.000    0.008    0.000 /usr/lib/python3.11/fractions.py:357(forward)
        5    0.001    0.000    1.490    0.298 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:164(_factorize)
       78    0.000    0.000    0.004    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:386(__mul__)
      139    0.000    0.000    0.004    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:442(enclosure)
       61    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f408cf15f80}
      399    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:71(_is_prime)
      179    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:368(__add__)
     2277    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
     3600    0.000    0.000    0.000    0.000 /usr/lib/python3.11/fractions.py:257(numerator)
     3607    0.000    0.000    0.000    0.000 /usr/lib/python3.11/fractions.py:261(denominator)
     3021    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x928000}
      269    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:357(_from_map)
      149    0.000    0.000    0.000    0.000 /usr/lib/python3.11/fractions.py:500(_div)
      762    0.000    0.000    0.000    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:360(<genexpr>)
      304    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      190    0.000    0.000    1.487    0.008 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:96(_pollard_rho)
      288    0.000    0.000    0.000    0.000 {built-in method math.isqrt}
      113    0.000    0.000    0.004    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:167(sqrt_sum_float)
        1    0.000    0.000    0.003    0.003 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:409(_skeleton_segments)
      140    0.000    0.000    0.000    0.000 /usr/lib/python3.11/fractions.py:589(__neg__)
      126    0.000    0.000    0.000    0.000 /usr/lib/python3.11/random.py:284(randrange)
       61    0.000    0.000    0.001    0.000 /usr/lib/python3.11/random.py:128(seed)
      159    0.000    0.000    0.000    0.000 /usr/lib/python3.11/fractions.py:645(__hash__)
      171    0.000    0.000    0.000    0.000 /usr/lib/python3.11/fractions.py:699(_richcmp)
        1    0.000    0.000    1.507    1.507 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/cftuv/envelope_queue_export.py:860(build_queue_domain)
       62    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:380(scaled)
      108    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:374(__neg__)
       32    0.000    0.000    0.001    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:320(radical)
        5    0.000    0.000    0.007    0.001 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:117(clip_to_halfplane)
      108    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/exact_sqrt_sum.py:377(__sub__)
       26    0.000    0.000    0.002    0.000 /tmp/claude-0/-home-user-CFTUV/4255c1b9-7873-5749-a1f5-eb79eb899ce6/scratchpad/wt-perfdiag/kernel/src/cftuv_envelope/wavefront/coverage.py:106(_value)
      583    0.000    0.000    0.000    0.000 /usr/lib/python3.11/fractions.py:737(__bool__)


